iter	Passed	Remaining
0	145	145497
1	148	74224
2	151	50340
3	154	38442
4	157	31248
5	159	26455
6	162	22997
7	164	20392
8	167	18391
9	169	16806
10	172	15487
11	174	14395
12	177	13450
13	179	12646
14	181	11947
15	184	11346
16	187	10817
17	189	10331
18	191	9902
19	194	9511
20	196	9170
21	199	8849
22	201	8555
23	203	8291
24	206	8044
25	208	7819
26	211	7608
27	213	7418
28	216	7232
29	218	7060
30	220	6907
31	223	6755
32	225	6613
33	228	6491
34	231	6369
35	233	6247
36	236	6142
37	238	6043
38	241	5947
39	243	5852
40	246	5764
41	248	5676
42	251	5600
43	257	5602
44	265	5625
45	268	5566
46	271	5501
47	273	5425
48	276	5362
49	281	5343
50	284	5300
51	287	5242
52	289	5177
53	292	5118
54	294	5064
55	297	5014
56	299	4959
57	302	4906
58	305	4870
59	308	4836
60	311	4791
61	313	4744
62	316	4701
63	318	4659
64	321	4620
65	323	4583
66	326	4544
67	328	4507
68	331	4468
69	333	4432
70	336	4396
71	338	4361
72	341	4333
73	343	4300
74	346	4269
75	348	4236
76	350	4204
77	353	4174
78	355	4147
79	358	4117
80	360	4089
81	363	4066
82	364	4030
83	368	4018
84	370	3993
85	373	3971
86	376	3947
87	379	3929
88	381	3908
89	384	3889
90	387	3866
91	389	3844
92	392	3829
93	395	3807
94	397	3790
95	400	3772
96	403	3756
97	405	3736
98	408	3715
99	410	3697
100	413	3681
101	416	3664
102	419	3651
103	422	3640
104	425	3625
105	428	3610
106	430	3596
107	433	3578
108	435	3562
109	438	3548
110	440	3531
111	443	3518
112	446	3502
113	448	3486
114	450	3470
115	453	3457
116	456	3441
117	458	3427
118	461	3415
119	464	3402
120	466	3390
121	468	3374
122	471	3363
123	474	3352
124	476	3338
125	479	3326
126	481	3312
127	484	3299
128	487	3288
129	489	3276
130	492	3264
131	494	3253
132	497	3241
133	499	3230
134	502	3219
135	505	3209
136	507	3197
137	510	3187
138	513	3178
139	515	3168
140	518	3158
141	520	3142
142	522	3132
143	525	3123
144	528	3115
145	530	3105
146	533	3095
147	536	3087
148	538	3078
149	541	3069
150	544	3059
151	546	3050
152	549	3040
153	551	3030
154	554	3021
155	556	3012
156	559	3002
157	561	2993
158	564	2984
159	566	2975
160	568	2963
161	571	2953
162	573	2943
163	575	2934
164	578	2925
165	580	2916
166	582	2907
167	585	2898
168	587	2890
169	590	2882
170	592	2873
171	595	2865
172	597	2857
173	600	2849
174	602	2840
175	604	2832
176	607	2824
177	609	2816
178	612	2807
179	614	2799
180	617	2791
181	619	2784
182	621	2776
183	624	2769
184	626	2761
185	629	2753
186	631	2745
187	634	2738
188	636	2731
189	638	2723
190	641	2716
191	643	2709
192	646	2702
193	648	2694
194	651	2688
195	653	2681
196	656	2674
197	658	2667
198	661	2660
199	663	2653
200	665	2645
201	667	2638
202	670	2631
203	672	2624
204	675	2618
205	677	2612
206	680	2606
207	682	2599
208	685	2593
209	687	2587
210	690	2580
211	692	2575
212	695	2569
213	697	2563
214	700	2556
215	702	2550
216	704	2543
217	707	2537
218	709	2531
219	712	2525
220	714	2519
221	717	2513
222	719	2507
223	722	2501
224	725	2497
225	727	2491
226	730	2487
227	733	2482
228	735	2477
229	738	2471
230	740	2465
231	743	2459
232	745	2454
233	748	2448
234	750	2443
235	753	2438
236	755	2433
237	758	2427
238	760	2422
239	763	2417
240	765	2412
241	768	2407
242	771	2403
243	773	2397
244	776	2392
245	778	2386
246	781	2382
247	784	2377
248	786	2371
249	788	2366
250	791	2361
251	794	2357
252	796	2351
253	799	2347
254	802	2343
255	804	2338
256	807	2335
257	810	2330
258	813	2327
259	816	2323
260	819	2319
261	821	2315
262	824	2310
263	827	2306
264	829	2301
265	832	2297
266	835	2292
267	837	2288
268	840	2283
269	842	2278
270	845	2274
271	848	2270
272	851	2267
273	853	2262
274	856	2258
275	859	2254
276	862	2250
277	864	2246
278	867	2242
279	870	2238
280	873	2234
281	876	2231
282	879	2227
283	881	2223
284	884	2220
285	887	2216
286	890	2212
287	893	2208
288	896	2204
289	898	2200
290	901	2197
291	904	2193
292	907	2190
293	910	2185
294	912	2181
295	915	2178
296	918	2173
297	921	2170
298	923	2165
299	926	2161
300	928	2157
301	931	2152
302	934	2149
303	936	2144
304	939	2141
305	942	2137
306	945	2133
307	947	2129
308	950	2124
309	953	2121
310	955	2117
311	958	2113
312	960	2108
313	963	2104
314	965	2100
315	968	2097
316	971	2093
317	974	2088
318	976	2085
319	979	2081
320	982	2077
321	985	2074
322	987	2070
323	990	2066
324	992	2062
325	995	2058
326	998	2054
327	1000	2050
328	1003	2046
329	1006	2042
330	1009	2039
331	1011	2035
332	1014	2032
333	1017	2028
334	1020	2025
335	1023	2022
336	1025	2018
337	1028	2014
338	1030	2010
339	1033	2006
340	1036	2003
341	1039	2000
342	1042	1997
343	1045	1994
344	1048	1990
345	1052	1988
346	1054	1984
347	1057	1981
348	1060	1977
349	1062	1974
350	1065	1970
351	1068	1966
352	1071	1963
353	1073	1959
354	1076	1955
355	1079	1952
356	1081	1948
357	1084	1944
358	1086	1940
359	1089	1937
360	1092	1933
361	1095	1930
362	1098	1927
363	1101	1924
364	1104	1921
365	1107	1917
366	1110	1914
367	1112	1911
368	1115	1908
369	1118	1904
370	1121	1901
371	1124	1898
372	1127	1895
373	1130	1891
374	1133	1888
375	1136	1885
376	1138	1881
377	1141	1878
378	1144	1875
379	1148	1873
380	1150	1869
381	1154	1867
382	1157	1864
383	1160	1861
384	1162	1857
